872.380	1.838
583.263	236.727
583.492	235.943
584.736	232.766
582.345	239.441
581.100	242.617
582.345	239.441
577.066	253.389
577.295	252.605
578.539	249.428
562.920	236.873
562.691	237.656
561.447	240.833
560.528	243.547
560.299	244.330
559.055	247.507
556.723	253.535
556.494	254.318
555.250	257.495
658.191	234.360
658.420	235.143
659.664	238.320
660.583	241.034
660.812	241.818
662.056	244.994
664.388	251.022
664.617	251.805
665.861	254.982
637.848	234.214
637.619	233.430
636.375	230.253
640.240	240.888
640.011	240.104
638.767	236.928
644.045	250.876
644.045	250.876
642.572	246.916
633.222	71.676
633.985	69.064
638.132	58.475
632.504	73.679
633.267	71.067
637.415	60.477
631.363	76.675
632.126	74.063
636.273	63.474
565.411	72.163
564.648	74.775
560.501	85.364
564.693	74.165
563.930	76.777
559.783	87.366
563.552	77.161
562.789	79.773
558.642	90.363
655.700	69.650
656.463	72.262
660.611	82.851
656.418	71.652
657.181	74.264
661.328	84.853
657.559	74.648
658.323	77.260
662.470	87.850
587.889	69.163
587.126	66.551
582.979	55.962
588.607	71.166
587.844	68.554
583.697	57.964
589.748	74.162
588.985	71.550
584.838	60.961
411.324	236.271
411.553	235.487
412.797	232.311
408.933	242.945
409.162	242.161
410.406	238.985
405.127	252.933
405.356	252.149
406.600	248.973
390.981	236.417
390.752	237.200
389.508	240.377
388.589	243.091
388.361	243.875
387.116	247.051
384.784	253.079
384.555	253.863
383.311	257.039
486.253	234.816
486.482	235.599
487.726	238.776
488.644	241.490
488.873	242.273
490.117	245.450
492.450	251.478
492.679	252.261
493.923	255.438
465.909	234.670
465.680	233.886
464.436	230.709
468.301	241.344
468.072	240.560
466.828	237.383
472.106	251.332
471.877	250.548
470.633	247.371
461.283	71.220
462.046	68.608
466.193	58.019
460.566	73.223
461.329	70.611
465.476	60.021
459.424	76.219
460.187	73.607
464.334	63.018
393.472	71.707
392.709	74.319
388.562	84.908
392.755	73.709
391.992	76.321
387.844	86.910
391.613	76.705
390.850	79.317
386.703	89.907
483.762	70.106
484.525	72.718
488.672	83.307
484.479	72.108
485.242	74.720
489.389	85.309
485.621	75.104
486.384	77.716
490.531	88.306
415.951	69.619
415.187	67.007
411.040	56.418
416.668	71.621
415.905	69.010
411.758	58.420
417.810	74.618
417.047	72.006
412.899	61.416
736.882	1.491
436.688	239.778
436.701	238.986
437.118	235.757
436.411	242.533
435.995	245.762
436.411	242.533
434.876	256.694
434.890	255.902
435.307	252.673
412.363	240.284
412.349	241.076
411.932	244.305
411.656	247.060
411.642	247.852
411.226	251.081
410.552	257.201
410.538	257.993
410.121	261.222
619.760	238.230
619.773	239.021
620.190	242.251
620.466	245.006
620.480	245.798
620.897	249.027
621.571	255.146
621.585	255.938
622.001	259.167
